Channel,Time
432,2835.3232 
404,2837.2368 
1197,2838.2377 
1056,2839.2724 
1556,2843.2334 
246,2844.2878 
1332,2845.2852 
1270,2846.2246 
402,2851.3491 
200,2852.2873 
609,2857.3212 
119,2861.2511 
276,2863.3353 
822,2864.2806 
2635,2873.3579 
455,2875.3605 
400,2877.3286 
239,2879.2832 
125,2880.2802 
1311,2881.3033 
869,2885.2971 
245,2889.2449 
701,2892.2650 
858,2894.2784 
715,2899.2648 
458,2900.2578 
1397,2907.2483 
480,2909.2403 
850,2910.2558 
645,2911.2698 
1296,2912.2587 
147,2915.2864 
377,2916.2583 
482,2921.2450 
1356,2922.2576 
929,2924.2555 
462,2925.2083 
158,2927.2185 
355,2928.2282 
186,2934.2265 
1217,2935.2245 
76,2936.2522 
453,2939.2302 
213,2941.2275 
693,2942.2231 
702,2943.2257 
1360,2946.2611 
170,2947.2233 
526,2948.2242 
509,2949.2268 
297,2950.2250 
278,2951.2375 
1298,2952.2223 
399,2954.3770 
127,2955.3536 
250,2956.3495 
1259,2957.3217 
236,2958.3406 
1341,2962.3327 
192,2963.2653 
1262,2964.2653 
425,2966.3799 
594,2974.2815 
1331,2976.4514 
322,2977.2600 
99,2978.4025 
405,2981.2327 
392,2982.2631 
563,2983.2060 
1280,2984.2613 
486,2987.3171 
697,2988.2946 
151,2991.2418 
1306,2994.3009 
1422,2997.3137 
576,2998.3131 
1241,2999.2378 
1356,3003.3033 
551,3004.3021 
818,3005.3047 
120,3005.3047 
429,3008.3456 
852,3010.3534 
343,3012.2887 
174,3014.3086 
432,3016.3100 
663,3017.2485 
78,3018.2985 
832,3019.2962 
463,3034.3704 
534,3037.2486 
397,3041.3111 
1371,3042.2462 
1335,3043.2742 
158,3045.2990 
287,3047.3435 
133,3048.3507 
151,3049.2899 
822,3050.3007 
453,3051.2960 
257,3053.3024 
170,3056.2537 
610,3057.3473 
290,3058.2943 
262,3060.2644 
1350,3062.2460 
395,3063.3045 
185,3064.2445 
532,3065.2456 
288,3071.3048 
1322,3072.2662 
1617,3073.3010 
405,3074.2720 
110,3077.2283 
1048,3078.2289 
681,3081.2868 
701,3083.2864 
1323,3084.2855 
1465,3085.3036 
107,3088.2910 
392,3089.2313 
390,3090.2219 
1270,3096.2598 
494,3097.2343 
520,3099.2290 
829,3101.2330 
361,3102.2397 
560,3103.2189 
137,3104.2327 
1374,3107.2150 
910,3108.2220 
146,3111.2310 
267,3112.2231 
96,3117.2157 
1369,3118.2303 
566,3121.2147 
1346,3123.2199 
591,3124.2260 
2416,3125.2152 
1287,3127.2175 
1322,3129.2160 
480,3132.2410 
261,3133.2214 
1343,3135.2840 
459,3136.2225 
327,3137.3498 
135,3138.2482 
793,3140.2186 
1344,3141.2493 
503,3142.2224 
304,3143.2326 
1309,3144.2214 
1373,3145.2173 
1329,3149.2234 
274,3150.2181 
96,3158.2428 
835,3160.2260 
480,3161.2187 
524,3165.2976 
545,3166.2607 
525,3167.2583 
1331,3168.3183 
355,3168.3183 
337,3168.3183 
1330,3169.2606 
681,3172.2591 
860,3175.3000 
414,3180.2762 
219,3185.3518 
389,3187.3099 
1366,3188.3134 
821,3190.3128 
215,3190.3128 
719,3192.2791 
1274,3193.2902 
391,3195.2623 
1319,3196.2960 
397,3197.3091 
114,3197.3091 
463,3198.2678 
912,3199.2608 
138,3203.3075 
664,3204.2873 
466,3205.2551 
1275,3206.2749 
877,3209.2652 
1275,3210.2705 
146,3211.2540 
330,3212.2640 
375,3213.2786 
134,3214.2572 
1364,3215.3107 
362,3215.3107 
90,3216.2650 
773,3217.2679 
611,3218.3147 
585,3221.3079 
231,3222.2708 
192,3223.2892 
892,3224.2707 
374,3225.2596 
1237,3226.3166 
353,3227.3031 
1361,3228.3224 
938,3229.3326 
78,3230.3118 
426,3231.3279 
367,3232.3656 
854,3233.3062 
374,3234.2845 
233,3235.3529 
347,3237.3751 
162,3246.2716 
488,3247.2909 
415,3248.3272 
508,3249.3029 
1248,3250.3254 
1218,3251.3253 
398,3252.2870 
790,3253.3101 
908,3254.2811 
849,3255.2893 
851,3256.3200 
237,3257.2901 
338,3259.3038 
314,3264.3063 
77,3265.3174 
1355,3266.3153 
712,3268.2872 
268,3269.3319 
281,3275.2873 
140,3276.2931 
735,3277.2814 
277,3278.3136 
1364,3279.2884 
762,3280.3132 
1053,3283.3509 
454,3284.3690 
95,3293.2676 
477,3302.2858 
1312,3304.2857 
894,3305.2921 
535,3307.2628 
295,3308.2836 
508,3311.2665 
358,3312.2668 
1260,3313.2852 
900,3316.2497 
257,3317.2415 
178,3323.2525 
222,3326.2445 
2472,3329.2395 
384,3330.2479 
1049,3332.2406 
349,3339.2439 
138,3345.2356 
332,3346.2300 
1321,3348.2358 
151,3349.2302 
372,3350.2340 
132,3353.3498 
376,3355.3392 
262,3356.2277 
818,3357.3394 
740,3359.3368 
1240,3361.2601 
431,3367.2634 
989,3368.2777 
269,3373.2566 
679,3374.2545 
1333,3376.2875 
1308,3378.2635 
620,3381.2476 
125,3382.2660 
687,3383.2835 
285,3386.2410 
955,3388.3050 
2032,3392.3128 
1323,3393.2862 
1424,3395.2706 
765,3405.2874 
621,3409.3092 
443,3410.3358 
323,3413.3556 
1310,3414.3360 
437,3415.3342 
1348,3417.3392 
732,3419.3046 
186,3420.3411 
228,3427.3298 
411,3434.2867 
95,3444.3303 
536,3445.3209 
527,3455.2908 
956,3457.3680 
698,3460.3328 
1315,3461.2927 
904,3463.3342 
761,3465.2804 
1297,3471.3414 
196,3472.3358 
232,3473.3524 
1362,3480.2762 
338,3481.3282 
220,3483.2720 
397,3484.3627 
956,3487.3451 
345,3488.3942 
1294,3490.2888 
179,3493.3309 
2483,3494.3273 
1072,3495.2834 
471,3497.2723 
768,3499.2781 
1921,3502.2958 
424,3504.2847 
1323,3506.3019 
683,3507.2846 
4095,3508.2790 
326,3509.2667 
545,3510.3012 
454,3511.2851 
155,3512.3035 
1327,3513.2938 
370,3514.2783 
1375,3521.3173 
181,3522.3120 
544,3531.2480 
437,3532.2562 
525,3533.2626 
371,3534.2556 
654,3536.2587 
1354,3540.2554 
178,3541.2656 
711,3543.2515 
377,3544.2512 
305,3555.2559 
662,3563.4128 
363,3565.3303 
264,3568.3882 
910,3576.2525 
687,3577.2481 
101,3578.2489 
1289,3579.2992 
331,3583.2494 
233,3584.2544 
209,3585.2567 
692,3586.2607 
470,3592.3168 
346,3593.2538 
959,3594.3744 
437,3595.3129 
522,3598.3146 
156,3599.3116 
272,3600.3093 
261,3603.2650 
171,3609.2564 
365,3611.2584 
375,3612.2660 
1394,3614.3209 
509,3615.3200 
945,3619.3243 
488,3622.2786 
347,3626.3227 
357,3630.2708 
219,3632.3225 
1444,3636.3414 
331,3637.3130 
508,3640.2650 
787,3643.3015 
287,3649.2779 
411,3652.2685 
108,3654.2649 
138,3655.2716 
127,3656.3682 
229,3657.3398 
625,3664.4704 
138,3668.4428 
211,3673.3186 
413,3674.4508 
145,3675.3507 
384,3676.3966 
132,3676.3966 
881,3677.2585 
2351,3678.4507 
1381,3679.4056 
